commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
0.0,0.0,0.0,0.0,0.0,1.0,abnormal glucose homeostasis,0.028566570617783935,0.0,1.0,0.0,0.0,0.0,10.0,zW9hAHE6sT8,277.0
4.0,0.04703918442018303,0.026981944792832443,37.0,34.0,0.0,abnormal glucose homeostasis,0.030777260914712258,0.0,0.0,0.0,0.0,1.0,11.0,wB-s2SDmBj8,201.0
48.0,2.3821408949789284,0.2779006951320311,963.0,764.0,31.0,abnormal glucose homeostasis,0.06900654149300794,0.0,31.0,4.0,7.0,21.0,12.0,FkkK5lTmBYQ,248985.0
2.0,0.8892076693626803,1.0780172488408737,170.0,109.0,0.0,abnormal glucose homeostasis,0.03314165199900065,0.0,0.0,0.0,0.0,2.0,13.0,zZyEUQJxZgg,205.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Z67NI1jq230,2357.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.0,0.20273527281081724,0.0,0.0,0.0,0.0,15.0,ulSl3VDy6Ns,511.0
2.0,0.017657494671256112,0.0,6.0,5.0,0.0,abnormal glucose homeostasis,0.021850375074251083,0.1854925319612127,0.0,0.0,0.0,1.0,16.0,JJCC7sqrx-k,1415.0
924.0,5.32085407385059,3.435681899232249,1551.0,1380.0,214.0,abnormal glucose homeostasis,0.0,0.0,214.0,11.0,18.0,71.0,17.0,cc8sUv2SuaY,1953628.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.06588357347575238,0.0,0.0,0.0,0.0,0.0,18.0,Bn8MJALJsuY,96.0
2.0,0.3341657775616662,0.17341404650816186,42.0,40.0,0.0,abnormal glucose homeostasis,0.06445146995562939,0.0,0.0,0.0,0.0,2.0,19.0,Dt5LIF5MfxA,1998.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4tcpBx8VxHg,522.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.05233941345285309,0.0,0.0,0.0,0.0,0.0,21.0,P_NoKv4kr64,142.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.028132560301778055,0.0,0.0,0.0,0.0,0.0,22.0,1cyjXo90f4E,216.0
5.0,0.2982929334569934,0.0676868092719854,26.0,26.0,1.0,abnormal glucose homeostasis,0.007076020832679861,0.08430096677391061,1.0,0.0,1.0,1.0,23.0,mZwAHIHVomo,5460.0
7.0,0.4477558386484486,0.1358908952415081,96.0,86.0,2.0,abnormal glucose homeostasis,0.00609151903361748,0.0,2.0,0.0,2.0,5.0,24.0,KekbjBOoRx8,8319.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.026639770228987596,0.0,0.0,0.0,0.0,0.0,25.0,_n8db0nOzF0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.02825650940216067,0.0,0.0,0.0,0.0,0.0,26.0,A8z2NFM1OzU,198.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.058209737752689894,0.0,0.0,0.0,0.0,0.0,27.0,MP-xPunCfq4,62.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.039672109137147124,0.0,0.0,0.0,0.0,0.0,28.0,wObGeICM-bc,31.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.03540884439941102,0.0,0.0,0.0,0.0,0.0,29.0,0W3dXygNHNE,64.0
1.0,0.9906558561086752,0.16996953251374744,525.0,273.0,2.0,abnormal glucose homeostasis,0.03356828014610309,0.0,2.0,1.0,0.0,0.0,30.0,zfwUS5DXicA,698.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.03491443989443999,0.0,0.0,0.0,0.0,0.0,31.0,FlVlN6z8QUQ,486.0
